Country Name,2010,2011,2012,2013,2014
"Korea, Dem. People’s Rep.",2.702279506,1.942943694,1.973809403,1.441206059,1.613596841
Portugal,4.552752646,4.510827218,4.37605313,4.344029312,4.331554028
Paraguay,0.820810138,0.845408397,0.828337607,0.840506114,0.870219291
West Bank and Gaza,0.534014834,0.572406877,0.543675272,0.584854657,
Pacific island small states,1.096408647,1.030073173,1.004216091,1.039494445,1.064149686
Post-demographic dividend,11.08958971,10.83341768,10.59881387,10.54176265,10.35677267
French Polynesia,3.203935479,3.084790045,2.996190694,3.003012489,2.915134817
Qatar,40.74201765,41.20564544,44.61792936,37.78008534,45.42323996
Romania,3.922213561,4.212926221,4.074315455,3.550167079,3.516153691
Russian Federation,11.69434812,12.334881,12.78497902,12.39355647,11.85752777
Rwanda,0.057616483,0.063115492,0.068317457,0.072576777,0.074016446
South Asia,1.207519099,1.270878874,1.362315313,1.35522147,1.461467463
Saudi Arabia,18.9053425,17.70230724,19.41950578,18.06835808,19.5292718
Sudan,0.345245386,0.330142237,0.300706838,0.309687395,0.299732598
Senegal,0.599610304,0.629136954,0.577471339,0.596523237,0.608809117
Singapore,10.96040878,8.72379742,6.846758465,10.31198193,10.30633191
Solomon Islands,0.375183312,0.36696231,0.359033309,0.357906561,0.350449345
Sierra Leone,0.112416392,0.135882766,0.152292538,0.172170095,0.184925702
El Salvador,1.047522915,1.073590082,1.070997514,0.996713369,1.000644623
San Marino,,,,,
Somalia,0.050807075,0.048776172,0.047691373,0.046352865,0.045046723
Serbia,6.302577983,6.803677141,6.120600182,6.265110693,5.282521917
Sub-Saharan Africa (excluding high income),0.850298545,0.839824281,0.827566132,0.822666074,0.840028002
South Sudan,,,0.123043932,0.12958768,0.129749351
Sub-Saharan Africa,0.850715337,0.840118001,0.827960049,0.82300949,0.840453498
Small states,6.760790365,6.889462975,7.000805122,6.809865439,7.384025519
Sao Tome and Principe,0.566490823,0.574250559,0.621562806,0.607752145,0.59433982
Suriname,4.565427302,3.704326087,4.205862474,3.534930143,3.634019433
Slovak Republic,6.721959562,6.395396289,6.059022901,6.11280356,5.661581328
Slovenia,7.485854369,7.350637628,7.185481044,6.869551393,6.213686845
Sweden,5.547348052,5.474957121,4.942300828,4.671420785,4.478182178
Eswatini,0.862756819,0.855951971,0.96657875,0.85657624,0.928714992
Sint Maarten (Dutch part),,,20.11345266,19.53355916,19.46132413
Seychelles,4.942709146,3.900126943,4.983296151,4.484430066,5.418677963
Syrian Arab Republic,2.930971337,2.727578225,2.190427547,1.839503237,1.598898459
Turks and Caicos Islands,6.15228754,6.009391447,6.105824674,5.980971366,6.086487448
Chad,0.043496106,0.043865596,0.048200118,0.053328683,0.053777688
East Asia & Pacific (IDA & IBRD countries),5.136588056,5.688487869,5.821253522,5.845317569,5.827867179
Europe & Central Asia (IDA & IBRD countries),7.592355112,7.889579095,7.95164336,7.716044877,7.39596064
Togo,0.40600638,0.368935463,0.362450984,0.377480424,0.362696892
Thailand,4.19478194,4.12138946,4.371765415,4.403807563,4.621860032
Tajikistan,0.33303078,0.300737249,0.366926485,0.425539775,0.620466725
Turkmenistan,11.26148537,12.07317521,12.31489744,12.43613272,12.51729534
Latin America & the Caribbean (IDA & IBRD countries),2.864983989,2.894576438,2.992217172,3.005565912,3.032804906
Timor-Leste,0.211508565,0.217131247,0.253604896,0.371540554,0.387014002
Middle East & North Africa (IDA & IBRD countries),3.856528774,3.86025027,3.966159669,3.953796939,3.967544488
Tonga,1.126823319,0.981822007,1.013263332,1.079266672,1.143965892
South Asia (IDA & IBRD),1.207519099,1.270878874,1.362315313,1.35522147,1.461467463
Sub-Saharan Africa (IDA & IBRD countries),0.850715337,0.840118001,0.827960049,0.82300949,0.840453498
Trinidad and Tobago,36.09293276,35.16208791,33.85500019,34.52003192,34.16324263
Tunisia,2.59965793,2.417981861,2.480445624,2.511904245,2.587059584
Turkey,4.120214807,4.370560958,4.419487888,4.285300843,4.491479026
Tuvalu,0.696420093,0.690063982,1.025734266,1.016822257,1.008525853
Tanzania,0.154161892,0.170126457,0.194470623,0.220730008,0.221347372
Uganda,0.1155833,0.121524015,0.112110416,0.129674909,0.134656001
Ukraine,6.641349685,6.265962311,6.487602806,5.976641848,5.020747064
Upper middle income,5.982705529,6.403580886,6.555613877,6.605490361,6.588135175
Uruguay,1.893043387,2.292941862,2.559619604,2.226235877,1.973150822
United States,17.44286171,16.97695728,16.3104711,16.32347679,16.50283724
Uzbekistan,3.647048882,3.874800916,3.889733195,3.417442433,3.420722746
St. Vincent and the Grenadines,2.012715547,1.811013252,2.314347651,1.911992316,1.91134541
"Venezuela, RB",6.513376914,6.00145924,6.649233468,6.066461313,6.025697582
British Virgin Islands,6.330774317,6.30859109,6.1740503,6.057819383,6.072833581
Virgin Islands (U.S.),,,,,
Vietnam,1.613359582,1.701422283,1.572337982,1.609111593,1.80356575
Vanuatu,0.512118327,0.545795073,0.459328848,0.42009228,0.594993239
World,4.828259915,4.967716837,4.996384374,4.987930702,4.970155157
Samoa,1.004360785,1.074707591,1.046639957,1.038064134,1.029788341
Kosovo,,,,,
"Yemen, Rep.",0.992601744,0.810900295,0.749446818,0.99688497,0.864834535
South Africa,9.190698716,9.004033387,8.845033039,8.673962823,8.980119297
Zambia,0.194337299,0.205910778,0.249456851,0.26111253,0.288271141
Zimbabwe,0.552146242,0.66475077,0.529703431,0.775563675,0.779955845
